"","filename","color.type","correct.phw.pw","correct.w.phw","correct.w.pw","d.absolute.w.pw.ph.pw","d.absolute.w.pw.w.phw","d.relative.w.pw.ph.pw","d.relative.w.pw.w.phw"
"1","777549_220210_194851.csv","white.on.black",50,83.3333333333333,75,25,-8.33333333333334,0.2,-0.0526315789473685
"2","777549_220211_170256.csv","black.on.white",75,58.3333333333333,58.3333333333333,-16.6666666666667,0,-0.125,0
"3","777549_220211_222053.csv","black.on.white",58.3333333333333,33.3333333333333,83.3333333333333,25,50,0.176470588235294,0.428571428571429
"4","777549_220211_224658.csv","black.on.white",58.3333333333333,58.3333333333333,66.6666666666667,8.33333333333332,8.33333333333332,0.0666666666666666,0.0666666666666666
"5","777549_220212_010636.csv","black.on.white",66.6666666666667,75,58.3333333333333,-8.33333333333332,-16.6666666666667,-0.0666666666666666,-0.125
"6","777549_220212_212914.csv","black.on.white",50,41.6666666666667,75,25,33.3333333333333,0.2,0.285714285714286
"7","777549_220213_140108.csv","black.on.white",50,41.6666666666667,66.6666666666667,16.6666666666667,25,0.142857142857143,0.230769230769231
"8","777549_220213_151808.csv","white.on.black",41.6666666666667,66.6666666666667,58.3333333333333,16.6666666666667,-8.33333333333332,0.166666666666667,-0.0666666666666666
"9","777549_220214_000154.csv","black.on.white",66.6666666666667,58.3333333333333,58.3333333333333,-8.33333333333332,0,-0.0666666666666666,0
"10","777549_220214_100152.csv","white.on.black",25,50,83.3333333333333,58.3333333333333,33.3333333333333,0.538461538461539,0.25
"11","777549_220214_135023.csv","white.on.black",50,41.6666666666667,66.6666666666667,16.6666666666667,25,0.142857142857143,0.230769230769231
"12","777549_220214_160643.csv","white.on.black",41.6666666666667,83.3333333333333,66.6666666666667,25,-16.6666666666667,0.230769230769231,-0.111111111111111
"13","777549_220214_161211.csv","black.on.white",58.3333333333333,16.6666666666667,66.6666666666667,8.33333333333332,50,0.0666666666666666,0.6
"14","777549_220214_184038.csv","white.on.black",41.6666666666667,58.3333333333333,66.6666666666667,25,8.33333333333332,0.230769230769231,0.0666666666666666
"15","777549_220214_201424.csv","black.on.white",66.6666666666667,91.6666666666667,75,8.33333333333334,-16.6666666666667,0.0588235294117648,-0.1
"16","777549_220214_201947.csv","white.on.black",50,41.6666666666667,58.3333333333333,8.33333333333334,16.6666666666667,0.0769230769230769,0.166666666666667
"17","777549_220214_212512.csv","black.on.white",58.3333333333333,41.6666666666667,66.6666666666667,8.33333333333332,25,0.0666666666666666,0.230769230769231
"18","777549_220214_231744.csv","white.on.black",58.3333333333333,25,66.6666666666667,8.33333333333332,41.6666666666667,0.0666666666666666,0.454545454545454
"19","777549_220215_005420.csv","black.on.white",58.3333333333333,25,58.3333333333333,0,33.3333333333333,0,0.4
"20","777549_220215_123045.csv","black.on.white",66.6666666666667,33.3333333333333,58.3333333333333,-8.33333333333332,25,-0.0666666666666666,0.272727272727273
"21","777549_220216_122340.csv","white.on.black",41.6666666666667,50,66.6666666666667,25,16.6666666666667,0.230769230769231,0.142857142857143
"22","777549_220216_151621.csv","white.on.black",66.6666666666667,50,75,8.33333333333334,25,0.0588235294117648,0.2
"23","777549_220216_173121.csv","black.on.white",50,66.6666666666667,66.6666666666667,16.6666666666667,0,0.142857142857143,0
"24","777549_220216_185028.csv","white.on.black",33.3333333333333,50,58.3333333333333,25,8.33333333333334,0.272727272727273,0.0769230769230769
"25","777549_220216_232630.csv","black.on.white",58.3333333333333,50,83.3333333333333,25,33.3333333333333,0.176470588235294,0.25
"26","777549_220218_180009.csv","black.on.white",66.6666666666667,66.6666666666667,58.3333333333333,-8.33333333333332,-8.33333333333332,-0.0666666666666666,-0.0666666666666666
"27","777549_220219_022052.csv","white.on.black",75,33.3333333333333,66.6666666666667,-8.33333333333334,33.3333333333333,-0.0588235294117648,0.333333333333333
